ph,tds_ppm,turbidity_ntu,temperature_c,dry_days_before_rain,rainwater_quality_score,water_class,recommended_action
5.57,235.4,68.56,22.5,7,31.1,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.24,328.4,67.09,27.7,30,34.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.93,209.0,9.6,26.6,4,51.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.03,295.2,71.07,29.2,10,36.2,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.71,192.5,28.97,28.4,32,34.7,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.02,315.8,81.96,28.2,34,31.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.95,266.5,48.24,32.0,18,34.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.66,431.4,58.02,29.1,25,23.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.96,83.2,0.76,28.9,5,82.7,Excellent_Store,Best for storage; disinfect before drinking use
5.62,399.9,93.58,24.6,22,22.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.11,134.2,54.77,27.1,4,50.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.0,326.3,65.14,29.5,16,31.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.76,301.8,93.29,23.3,43,23.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.79,500.5,95.0,25.2,44,20.3,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.26,56.5,0.13,27.4,4,92.9,Excellent_Store,Best for storage; disinfect before drinking use
6.18,55.0,1.86,27.9,3,83.5,Excellent_Store,Best for storage; disinfect before drinking use
5.97,60.9,31.12,27.0,3,53.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.51,417.4,95.0,28.4,17,23.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.82,512.9,95.0,26.9,37,23.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.48,367.8,91.35,30.0,24,23.8,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.38,129.4,2.68,31.9,10,78.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.26,34.3,0.03,25.6,0,97.2,Excellent_Store,Best for storage; disinfect before drinking use
6.17,82.6,4.48,35.1,0,74.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.77,220.9,75.39,27.3,30,34.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.42,353.8,50.4,32.7,35,32.9,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.57,635.9,88.78,27.0,32,19.4,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.98,223.3,8.2,32.3,2,52.9,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.41,90.6,12.15,26.2,10,66.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.13,326.5,95.0,29.9,12,22.4,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.79,147.0,24.0,26.3,3,46.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.67,462.1,88.16,22.9,32,22.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.68,448.3,84.99,26.5,28,24.4,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.35,176.6,10.66,37.2,23,49.9,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.31,23.4,2.64,31.9,6,86.9,Excellent_Store,Best for storage; disinfect before drinking use
6.31,37.5,1.32,25.7,1,90.1,Excellent_Store,Best for storage; disinfect before drinking use
6.29,207.9,5.95,29.6,4,66.7,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.22,96.2,2.9,27.2,9,81.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.95,67.6,4.83,28.7,1,83.6,Excellent_Store,Best for storage; disinfect before drinking use
6.35,183.5,4.08,29.1,0,71.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.99,115.0,38.15,24.1,18,45.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.21,91.5,8.48,24.1,1,69.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.34,196.3,48.45,28.6,19,46.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.73,402.4,85.04,27.4,28,23.8,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.23,110.5,39.79,25.7,22,48.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.17,29.8,5.23,29.0,6,80.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.56,579.2,95.0,30.7,17,19.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.35,221.6,14.41,27.9,9,52.8,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.4,201.7,4.86,25.8,11,68.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.05,61.8,1.25,35.3,3,85.1,Excellent_Store,Best for storage; disinfect before drinking use
6.1,90.0,11.65,27.5,4,64.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.88,431.9,95.0,20.5,22,24.2,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.86,265.2,60.91,22.3,19,29.9,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.99,231.5,42.57,24.8,8,40.2,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.0,188.6,7.3,27.6,17,57.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.08,46.8,1.28,29.1,2,87.6,Excellent_Store,Best for storage; disinfect before drinking use
6.18,6.6,2.39,28.7,0,90.1,Excellent_Store,Best for storage; disinfect before drinking use
6.21,91.7,2.09,28.6,7,82.3,Excellent_Store,Best for storage; disinfect before drinking use
6.08,78.9,1.12,22.5,6,84.7,Excellent_Store,Best for storage; disinfect before drinking use
5.77,483.6,95.0,28.8,37,23.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.48,247.3,85.3,24.5,7,30.1,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.26,80.2,0.03,26.8,7,89.6,Excellent_Store,Best for storage; disinfect before drinking use
6.74,231.0,9.63,26.9,15,58.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.5,97.2,8.97,30.7,4,66.7,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.34,54.4,5.6,27.1,11,74.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.13,5.0,0.03,29.0,4,91.1,Excellent_Store,Best for storage; disinfect before drinking use
6.15,34.1,0.81,28.7,3,93.6,Excellent_Store,Best for storage; disinfect before drinking use
5.96,474.4,81.85,32.3,44,23.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.25,239.7,22.11,28.9,13,45.2,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.01,92.2,0.33,25.7,13,80.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.5,367.3,87.47,25.2,40,21.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.78,432.5,86.31,35.9,45,22.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.65,425.3,62.46,24.0,40,24.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.77,252.9,63.09,27.5,33,31.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.71,404.8,80.17,30.0,28,23.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.96,514.5,95.0,24.5,27,24.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.18,174.7,18.57,23.8,24,49.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.4,13.4,10.72,27.2,8,71.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.21,50.7,13.22,29.1,0,68.5,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.12,455.0,78.5,26.3,15,31.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.83,86.8,0.03,28.6,14,78.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.62,394.1,68.09,24.9,23,23.1,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.61,408.6,95.0,26.8,37,23.1,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.91,531.1,76.53,26.8,32,24.1,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.8,166.9,74.16,24.0,34,33.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.8,479.6,95.0,30.0,17,24.5,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.67,415.6,70.24,33.7,21,21.3,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.0,54.1,8.14,28.6,4,68.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.13,59.4,27.12,27.9,6,58.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.87,239.4,2.61,22.6,6,64.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.46,113.3,5.61,27.4,4,74.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.71,553.7,95.0,31.0,12,23.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.1,113.4,3.42,32.8,2,74.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.14,5.0,10.18,25.2,0,72.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.15,31.7,1.93,28.0,5,85.5,Excellent_Store,Best for storage; disinfect before drinking use
6.17,123.4,0.03,24.4,5,84.3,Excellent_Store,Best for storage; disinfect before drinking use
5.96,128.1,53.38,23.8,7,47.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.24,100.6,1.88,30.6,2,84.5,Excellent_Store,Best for storage; disinfect before drinking use
5.95,6.5,2.87,26.5,0,85.9,Excellent_Store,Best for storage; disinfect before drinking use
5.92,95.3,16.93,23.9,12,51.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.07,47.3,2.7,32.5,12,79.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.23,217.5,23.1,27.1,3,50.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.75,66.7,0.03,29.4,6,83.0,Excellent_Store,Best for storage; disinfect before drinking use
5.81,412.2,89.58,20.1,31,22.4,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.19,24.4,4.29,29.3,0,83.5,Excellent_Store,Best for storage; disinfect before drinking use
6.0,442.1,95.0,31.4,31,24.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.62,86.8,4.62,28.6,3,79.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.26,56.2,12.22,23.8,3,67.5,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.63,482.5,95.0,29.8,39,20.4,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.57,378.9,94.84,24.4,34,22.2,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.34,165.9,0.03,30.0,1,86.6,Excellent_Store,Best for storage; disinfect before drinking use
6.03,154.1,2.72,25.2,12,71.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.63,338.7,47.39,34.1,30,27.2,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.08,91.4,1.76,25.5,4,82.7,Excellent_Store,Best for storage; disinfect before drinking use
6.25,287.5,6.07,32.7,23,54.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.66,492.9,79.27,30.9,40,20.5,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.6,440.4,84.23,29.1,42,22.5,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.24,93.3,0.03,31.7,4,85.8,Excellent_Store,Best for storage; disinfect before drinking use
6.57,155.4,3.45,31.0,12,77.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.53,46.2,0.63,32.9,7,93.7,Excellent_Store,Best for storage; disinfect before drinking use
6.09,310.3,65.54,28.4,20,34.8,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.92,254.5,40.74,28.4,29,33.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.2,293.8,16.18,29.4,4,46.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.02,5.0,8.87,28.2,13,68.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.38,76.4,3.86,26.2,13,79.5,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.39,90.8,10.65,25.7,2,67.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.29,345.7,74.24,27.3,34,36.8,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.5,75.8,4.85,28.3,6,82.3,Excellent_Store,Best for storage; disinfect before drinking use
6.01,67.8,0.03,27.4,2,86.8,Excellent_Store,Best for storage; disinfect before drinking use
5.99,166.2,12.23,26.4,11,51.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.35,22.2,8.48,25.7,8,72.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.32,333.8,85.66,27.7,32,38.8,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.13,168.7,0.03,27.0,0,80.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.32,107.3,5.94,25.0,13,73.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.1,84.2,9.79,29.9,4,64.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.36,141.9,0.56,27.0,4,86.2,Excellent_Store,Best for storage; disinfect before drinking use
5.93,280.1,66.97,29.0,27,32.7,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.29,87.9,10.27,26.5,3,68.5,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.91,85.8,39.74,28.7,8,49.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.35,212.2,54.94,28.2,7,45.4,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.77,507.6,95.0,24.4,44,20.2,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.38,144.4,34.48,33.2,13,51.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.47,200.3,5.72,27.5,13,66.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.14,76.2,39.73,32.8,9,50.4,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.13,26.5,1.35,24.7,7,89.2,Excellent_Store,Best for storage; disinfect before drinking use
6.33,39.7,0.83,26.1,1,91.6,Excellent_Store,Best for storage; disinfect before drinking use
6.08,194.4,8.66,29.1,20,53.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
